route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
611,0000000072025062820250909,0003269592025062820250909,Cavalese. Ospedale,0,SHAPE00833
658,0000000042025062820250909,0003296432025062820250909,Mezzocorona-Staz.Fs,1,SHAPE00038
658,0000000042025062820250909,0003295402025062820250909,Mezzolombardo,1,SHAPE00353
683,0000000022025062820250831,0003274662025062820250831,Passo Pordoi,0,SHAPE00194
134,0000000012025062820250909,0003280272025062820250909,Trento. Autostazione,1,SHAPE00035
123,0000000022025062820250909,0003293652025062820250909,S.Martino di Castrozza,0,SHAPE01650
658,0000000012025062820250909,0003298242025062820250909,Spormaggiore,1,SHAPE00873
343,0000000022025062820250909,0003272052025062820250909,Faedo. Pineta,0,SHAPE00189
336,0000000072025062820250909,0003299412025062820250909,Fucine,1,SHAPE00015
194,0000000022025062820250909,0003283522025062820250909,Nomi,0,SHAPE01471
366,0000000022025062820250909,0003302902025062820250909,Mezzocorona-Staz.Fs,1,SHAPE00054
181,0000004512025062820250909,0003283882025062820250909,Trento. Autostazione,1,SHAPE00087
687,0000006272025062820250909,0003280002025062820250909,Ranzo,1,SHAPE01446
110,0000000022025062820250909,0003284522025062820250909,Bolognano,0,SHAPE00995
634,0000000042025062820250909,0003285772025062820250909,Rovereto. Via Paoli,1,SHAPE00291
336,0000000022025062820250909,0003299422025062820250909,Fucine,1,SHAPE00015
245,0000000022025062820250909,0003275232025062820250909,Riva Del G.Autostazione,1,SHAPE00099
554,0000000042025062820250909,0003292292025062820250909,Pergine V. Intermodale,1,SHAPE00813
71,0000000022025062820250909,0003279792025062820250909,Tione. Autostazione,0,SHAPE00075
681,0000000392025062820250909,0003302762025062820250909,Tuenno,0,SHAPE02780
520,0000000022025062820250909,0003289922025062820250909,Trento. Autostazione,1,SHAPE01069
375,0000000072025062820250909,0003296552025062820250909,Passo Mendola,0,SHAPE00621
237,0000000072025062820250909,0003275862025062820250909,Trento. Autostazione,1,SHAPE00217
658,0000000022025062820250909,0003296092025062820250909,Molveno,0,SHAPE00132
215,0000000022025062820250909,0003283442025062820250909,Pozzacchio,0,SHAPE00147
106,0000000022025062820250909,0003293302025062820250909,Canal S. Bovo,1,SHAPE00872
611,0000000072025062820250909,0003269752025062820250909,Cavalese. Autostazione,1,SHAPE00245
420,0000000012025062820250909,0003305572025062820250909,Riva Del G. Autostazione,0,SHAPE00050
134,0000000022025062820250909,0003279382025062820250909,Pergolese,0,SHAPE00127
71,0000000042025062820250909,0003279642025062820250909,Tione. Autostazione,0,SHAPE00075
375,0000000022025062820250909,0003296602025062820250909,Passo Mendola,0,SHAPE00060
151,0000000022025062820250909,0003271892025062820250909,Bosco di Civezzano,0,SHAPE00163
248,0000000022025062820250909,0003294612025062820250909,Val Canali,0,SHAPE00958
7,0000000022025062820250909,0003269342025062820250909,Casatta Valfloriana,1,SHAPE00097
494,0000000072025062820250909,0003291872025062820250909,Montesover,0,SHAPE02309
634,0000000072025062820250909,0003288352025062820250909,Riva Del G.Autostazione,1,SHAPE00679
423,0000000022025062820250909,0003305562025062820250909,Riva Del G. Autostazione,0,SHAPE00016
71,0000000022025062820250909,0003275752025062820250909,Ponte Arche Autostazione,1,SHAPE00011
332,0000000022025062820250909,0003299732025062820250909,Fucine,1,SHAPE00628
551,0000000022025062820250909,0003292592025062820250909,Serso. Centrale Idroelettrica,0,SHAPE00456
110,0000000042025062820250909,0003284012025062820250909,Trento. Autostazione,1,SHAPE00034
198,0000000042025062820250909,0003285132025062820250909,Serrada. Via Pasubio,1,SHAPE00763
352,0000000022025062820250909,0003303752025062820250909,Trento Ftm,1,
243,0000000012025062820250909,0003271482025062820250909,Predazzo. Autostazione,0,SHAPE00025
80,0000000022025062820250909,0003276232025062820250909,Trento. Autostazione,1,SHAPE00255
288,0000000022025062820250909,0003311132025062820250909,Passo Rolle,1,SHAPE02685
243,0000000012025070120250831,0003274182025070120250831,Moena Albergo Trentino,1,SHAPE00572
687,0000006272025062820250909,0003279972025062820250909,Vezzano. Apt,0,SHAPE01144
549,0000000022025062820250909,0003292152025062820250909,Pergine V. Intermodale,1,SHAPE00702
157,0000000022025062820250909,0003280122025062820250909,Tione. Autostazione,1,SHAPE02271
368,0000000022025062820250909,0003297822025062820250909,Credai,0,SHAPE00373
215,0000000042025062820250909,0003283422025062820250909,Pozzacchio,0,SHAPE00147
3,0000000022025062820250909,0003270732025062820250909,Trento. Autostazione,1,SHAPE00810
520,0000000042025062820250909,0003289812025062820250909,Castello Tesino,0,SHAPE01393
169,0000000042025062820250909,0003288742025062820250909,Samone,0,SHAPE00919
177,0000000022025062820250909,0003290392025062820250909,Pergine V. Intermodale,1,SHAPE00284
324,0000000022025062820250909,0003298772025062820250909,Male',1,SHAPE00871
703,0000000022025062820250909,0003303162025062820250909,Lavis Ftm,1,SHAPE01237
71,0000000022025062820250909,0003279052025062820250909,Tione. Autostazione,0,SHAPE00075
634,0000004512025062820250909,0003285722025062820250909,Rovereto. Via Paoli,1,SHAPE00076
520,0000000022025062820250909,0003289822025062820250909,Trento. Autostazione,1,SHAPE00652
200,0000000022025062820250909,0003282992025062820250909,Rovereto. Via Paoli,1,SHAPE01960
288,0000000012025062820250909,0003271382025062820250909,S.Martino di Castrozza,0,SHAPE00594
352,0000000072025062820250909,0003304132025062820250909,Mezzana. Ftm,0,
641,0000000022025062820250909,0003269652025062820250909,Cavalese. Autostazione,1,SHAPE02575
658,0000000012025062820250909,0003298232025062820250909,Molveno,0,SHAPE01316
503,0000000022025062820250909,0003286132025062820250909,Ala. Staz. Fs,0,SHAPE00875
186,0000000042025062820250909,0003286492025062820250909,Lavarone Cappella,0,SHAPE02112
618,0000000042025062820250909,0003294742025062820250909,Caoria,1,SHAPE01452
375,0000000072025062820250909,0003296632025062820250909,Passo Mendola,0,SHAPE00532
102,0000000012025062820250909,0003294282025062820250909,Feltre. Staz. Fs,0,SHAPE00204
169,0000004512025062820250909,0003288732025062820250909,Samone,0,SHAPE00919
552,0000000042025062820250909,0003292202025062820250909,Pergine V. Intermodale,1,SHAPE00197
314,0000000042025062820250909,0003283142025062820250909,Rovereto. Via Manzoni,1,SHAPE01016
243,0000000012025070120250830,0003274152025070120250830,Penia. Str. Pian Trevisan,0,SHAPE00055
151,0000000022025062820250909,0003271742025062820250909,Trento. Autostazione,1,SHAPE00821
288,0000000022025062820250909,0003269242025062820250909,S.Martino di Castrozza,0,SHAPE00594
634,0000000022025062820250909,0003288292025062820250909,Rovereto. Via Paoli,1,SHAPE00291
250,0000000072025062820250909,0003293382025062820250909,Fiera di Primiero,1,SHAPE00314
231,0000004512025062820250909,0003282702025062820250909,Rovereto. Via Manzoni,1,SHAPE01394
245,0000000022025062820250909,0003275092025062820250909,Riva Del G.Autostazione,1,SHAPE00292
71,0000000022025062820250909,0003278852025062820250909,Tione. Autostazione,0,SHAPE00075
186,0000000022025062820250909,0003285032025062820250909,Trento. Autostazione,1,SHAPE00019
305,0000000022025062820250909,0003290012025062820250909,Levico Terme. Staz. Fs,1,SHAPE01604
237,0000000072025062820250909,0003278582025062820250909,Trento. Autostazione,1,SHAPE02269
334,0000000022025062820250909,0003299242025062820250909,Male',1,SHAPE01040
366,0000000072025062820250909,0003297332025062820250909,Mezzocorona-Staz.Fs,1,SHAPE00846
157,0000000022025062820250909,0003280512025062820250909,Tione. Autostazione,1,SHAPE00006
286,0000000072025062820250909,0003277842025062820250909,Ponte Arche Autostazione,1,SHAPE01183
326,0000000072025062820250909,0003298912025062820250909,Male',1,SHAPE00090
186,0000000022025062820250909,0003287262025062820250909,Lavarone Cappella,0,SHAPE00583
153,0000000072025062820250909,0003274972025062820250909,Riva Del G.Autostazione,1,SHAPE00122
80,0000000072025062820250909,0003276342025062820250909,Trento. Autostazione,1,SHAPE00168
658,0000000022025062820250909,0003295932025062820250909,Mezzocorona-Staz.Fs,1,SHAPE00038
520,0000000072025062820250909,0003290342025062820250909,Borgo V. Valli,0,SHAPE00334
658,0000000072025062820250909,0003295832025062820250909,Molveno,0,SHAPE00385
368,0000000022025062820250909,0003297902025062820250909,Dermulo,1,SHAPE01075
520,0000000022025062820250909,0003290422025062820250909,Borgo V. Valli,0,SHAPE00334
658,0000000072025062820250909,0003295532025062820250909,Trento. Autostazione,1,SHAPE01178
175,0000000022025062820250909,0003278752025062820250909,Drena,0,SHAPE01298
243,0000000012025070120250831,0003274102025070120250831,Moena Albergo Trentino,1,SHAPE00572
71,0000000072025062820250909,0003279002025062820250909,Tione. Autostazione,0,SHAPE00075
108,0000000022025062820250909,0003293852025062820250909,Feltre. Staz. Fs,0,SHAPE00234
215,0000000022025062820250909,0003283312025062820250909,Camposilvano,0,SHAPE00072
243,0000000022025062820250909,0003271152025062820250909,Trento. Autostazione,1,SHAPE01549
352,0000000072025062820250909,0003304032025062820250909,Mezzana. Ftm,0,
332,0000000072025062820250909,0003298782025062820250909,Passo Tonale,0,SHAPE00232
102,0000000022025062820250909,0003293232025062820250909,Fiera di Primiero,0,SHAPE00408
634,0000000072025062820250909,0003286032025062820250909,Bolognano,0,SHAPE00064
336,0000000072025062820250909,0003299542025062820250909,Fucine,1,SHAPE00015
177,0000000022025062820250909,0003290332025062820250909,Pergine V. Intermodale,1,SHAPE00284
120,0000000022025062820250909,0003270642025062820250909,Civezzano,0,SHAPE00130
494,0000000022025062820250909,0003291392025062820250909,Pergine V. Intermodale,1,SHAPE00186
151,0000000042025062820250909,0003270592025062820250909,Trento. Autostazione,1,SHAPE02163
71,0000004512025062820250909,0003275902025062820250909,Tione. Autostazione,0,SHAPE00242
229,0000000042025062820250909,0003278362025062820250909,Drena,0,SHAPE00009
102,0000000012025062820250909,0003294132025062820250909,S.Martino di Castrozza,1,SHAPE00369
231,0000000042025062820250909,0003282602025062820250909,Saccone,0,SHAPE00029
186,0000004512025062820250909,0003284902025062820250909,Bosentino,0,SHAPE01201
243,0000000012025070120250831,0003273942025070120250831,Moena Albergo Trentino,1,SHAPE00572
233,0000000022025062820250909,0003285442025062820250909,Besagno,1,SHAPE00045
357,0000000022025062820250909,0003300362025062820250909,Lanza di Rumo,0,SHAPE00262
288,0000000022025062820250909,0003272712025062820250909,Predazzo. Autostazione,1,SHAPE00834
549,0000004512025062820250909,0003291782025062820250909,Pergine V. Intermodale,1,SHAPE00228
215,0000000502025062820250909,0003311252025062820250909,Vanza. Sp50,1,SHAPE01151
181,0000000042025062820250909,0003286402025062820250909,Cimone. Bivio Pietra,1,SHAPE01742
