pkuid,cod_rip,cod_reg,cod_prov,cod_cm,cod_uts,pro_com,pro_com_t,comune,comune_a,cc_uts,shape_leng,shape_area,den_prov,den_cm,den_uts,sigla,tipo_uts,den_reg,den_rip,ontopia
2882,2,4,22,0,22,22190,022190,Tenna,,0,7981.13692329,3168601.83557,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022190
2883,2,4,22,0,22,22191,022191,Tenno,,0,23018.3522244,28331944.2265,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022191
2884,2,4,22,0,22,22193,022193,Terragnolo,,0,30979.195406,39523723.5581,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022193
2885,2,4,22,0,22,22195,022195,Terzolas,,0,13945.9594371,5881267.59657,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022195
2886,2,4,22,0,22,22196,022196,Tesero,,0,44315.5520098,50856142.7461,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022196
2887,2,4,22,0,22,22199,022199,Tione di Trento,,0,51679.8227234,33338612.6686,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022199
2888,2,4,22,0,22,22200,022200,Ton,,0,20715.3451,26184767.4315,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022200
2889,2,4,22,0,22,22202,022202,Torcegno,,0,24401.5976269,15289707.4137,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022202
2890,2,4,22,0,22,22203,022203,Trambileno,,0,46610.105212,50588062.7092,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022203
2891,2,4,22,0,22,22205,022205,Trento,,1,68948.5752541,157759001.696,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022205
2892,2,4,22,0,22,22209,022209,Valfloriana,,0,33351.2695765,39387672.2708,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022209
