name,stops_300m
BREN CENTER via Guardini,1
MUSE corso del Lavoro e della Scienza,1
CENTRO SPORTIVO GARDOLO via IV Novembre,1
PIEDICASTELLO in piazza di Piedicastello nel giardino Andrea Hofler,2
LIDORNO - via Lidorno/park Trento sud,2
