name,stops_500m
LIDORNO - via Lidorno/park Trento sud,2
PALATRENTO via Fersina/via Bartali,3
MUSE corso del Lavoro e della Scienza,4
STAZIONE FF.SS. - OSPEDALE via Gocciadoro/Staz. S. Chiara,4
STAZIONE FF.SS. VILLAZZANO - via Asiago,4
