name,stops_500m
TOP CENTER,16
PIEDICASTELLO in piazza di Piedicastello nel giardino Andrea Hofler,13
VIA BEZZI angolo via Vittorio Veneto,13
VIA VANNETTI (sede PAT),13
STUDENTATO MAYER corso Buonarroti,12
